Rented Bike Count,Hour,Temperature(캜),Humidity(%),Wind speed (m/s),Visibility (10m),Seasons,Holiday,Functioning Day,Day,Month,Year
343,15,7.3,38,0.8,2000,Spring,No Holiday,Yes,4,8,2018
77,6,17.4,98,0.3,234,Spring,No Holiday,Yes,18,5,2018
3227,18,27.1,40,2.8,1811,Summer,No Holiday,Yes,6,5,2018
2281,8,16.9,65,1.6,896,Spring,No Holiday,Yes,31,5,2018
211,23,-5.6,53,1.2,1290,Winter,No Holiday,Yes,14,12,2017
487,1,20.5,58,1.7,2000,Autumn,No Holiday,Yes,9,10,2018
2505,19,26.8,35,1.9,2000,Summer,No Holiday,Yes,6,1,2018
0,7,8.8,85,1.1,438,Spring,No Holiday,No,4,11,2018
174,4,29.3,51,0.9,1498,Summer,No Holiday,Yes,23,7,2018
1492,16,18.2,42,1.3,1976,Autumn,No Holiday,Yes,24,10,2018
401,16,-1.1,24,3.4,2000,Winter,No Holiday,Yes,12,8,2017
700,10,12.4,34,1.2,1943,Spring,No Holiday,Yes,16,4,2018
14,16,11.7,96,1.4,587,Autumn,No Holiday,Yes,11,8,2018
62,12,-1.8,83,1.2,351,Winter,No Holiday,Yes,18,12,2017
498,22,2.8,74,2.1,469,Spring,No Holiday,Yes,3,8,2018
251,1,5.6,78,0.5,197,Winter,Holiday,Yes,24,12,2017
21,5,-7.5,33,1.5,2000,Winter,No Holiday,Yes,28,1,2018
195,16,-3.7,25,2.6,1839,Winter,No Holiday,Yes,27,1,2018
486,1,21.3,97,1.1,570,Autumn,No Holiday,Yes,9,4,2018
1639,15,23.1,61,2.5,556,Spring,Holiday,Yes,5,1,2018
517,8,-9.1,33,2.1,1998,Winter,No Holiday,Yes,2,12,2018
1684,21,31.3,59,0.3,2000,Summer,No Holiday,Yes,14,8,2018
340,9,-11.1,46,3.4,1981,Winter,No Holiday,Yes,13,12,2017
174,11,-3.5,35,2.2,1742,Winter,No Holiday,Yes,19,12,2017
315,9,-3.1,66,0.2,1168,Winter,No Holiday,Yes,1,2,2018
250,15,6.3,40,0.3,498,Winter,No Holiday,Yes,16,1,2018
75,9,21.5,97,0.9,1543,Summer,No Holiday,Yes,27,8,2018
518,6,6.6,65,1.6,2000,Autumn,No Holiday,Yes,10,11,2018
676,2,29.5,68,0.4,1949,Summer,Holiday,Yes,15,8,2018
101,1,-1.4,42,1.1,1805,Winter,No Holiday,Yes,19,2,2018
257,7,-5.0,31,0.5,2000,Winter,No Holiday,Yes,28,12,2017
588,21,10.3,52,2.2,1843,Spring,No Holiday,Yes,3,3,2018
1160,17,11.2,30,1.5,2000,Spring,No Holiday,Yes,16,3,2018
1569,17,22.0,49,3.7,1582,Spring,No Holiday,Yes,4,2,2018
1261,14,29.2,52,3.1,1735,Summer,No Holiday,Yes,25,8,2018
774,20,6.7,41,1.0,2000,Spring,No Holiday,Yes,16,3,2018
376,2,27.6,60,4.3,1854,Summer,No Holiday,Yes,21,8,2018
1254,2,20.9,87,1.8,222,Summer,No Holiday,Yes,24,6,2018
616,9,9.4,44,0.3,743,Spring,No Holiday,Yes,13,3,2018
460,10,7.2,53,1.6,709,Spring,No Holiday,Yes,18,3,2018
680,9,17.7,54,1.8,2000,Autumn,No Holiday,Yes,26,9,2018
1232,17,35.6,44,2.4,1860,Summer,No Holiday,Yes,8,7,2018
529,13,17.7,89,5.0,2000,Autumn,No Holiday,Yes,10,6,2018
424,22,8.8,79,2.0,203,Spring,No Holiday,Yes,25,3,2018
3160,18,27.0,45,2.4,2000,Autumn,No Holiday,Yes,9,5,2018
170,3,18.5,82,0.8,342,Spring,No Holiday,Yes,5,2,2018
12,6,4.9,84,1.3,159,Winter,Holiday,Yes,24,12,2017
110,4,10.0,62,0.6,1759,Autumn,No Holiday,Yes,22,10,2018
41,3,-15.3,43,0.8,1963,Winter,No Holiday,Yes,27,1,2018
717,12,5.9,23,2.8,1985,Autumn,No Holiday,Yes,22,11,2018
246,19,1.6,35,1.0,1419,Winter,No Holiday,Yes,1,7,2018
1249,14,25.0,54,2.2,1146,Summer,No Holiday,Yes,6,8,2018
239,17,-5.7,30,3.6,1978,Winter,No Holiday,Yes,29,1,2018
0,18,23.1,48,1.3,2000,Autumn,No Holiday,No,10,4,2018
28,5,20.7,97,0.3,2000,Summer,No Holiday,Yes,7,2,2018
1123,14,21.6,28,3.1,1414,Spring,No Holiday,Yes,26,4,2018
453,7,21.2,84,0.3,2000,Autumn,No Holiday,Yes,15,9,2018
1657,23,19.5,72,0.6,1989,Summer,No Holiday,Yes,6,12,2018
349,14,3.4,31,1.4,1267,Winter,No Holiday,Yes,1,8,2018
2017,8,21.7,89,0.5,2000,Summer,No Holiday,Yes,7,10,2018
912,22,13.5,81,2.8,933,Spring,No Holiday,Yes,13,3,2018
463,15,2.1,36,3.2,2000,Winter,No Holiday,Yes,1,12,2017
193,23,1.3,92,0.6,209,Winter,No Holiday,Yes,12,6,2017
796,11,11.0,46,2.6,1946,Autumn,No Holiday,Yes,29,10,2018
444,11,5.9,51,0.7,1866,Spring,No Holiday,Yes,3,9,2018
1061,9,22.3,86,1.0,2000,Summer,No Holiday,Yes,7,10,2018
1759,21,26.2,62,2.3,2000,Autumn,No Holiday,Yes,9,2,2018
305,9,1.2,84,2.1,210,Winter,No Holiday,Yes,18,1,2018
974,11,26.8,37,1.6,1639,Summer,No Holiday,Yes,6,5,2018
1374,20,12.8,56,2.0,2000,Spring,No Holiday,Yes,4,4,2018
1838,20,26.9,56,1.6,2000,Autumn,No Holiday,Yes,9,2,2018
0,5,10.9,68,3.1,1034,Autumn,No Holiday,No,11,9,2018
2213,16,24.5,38,2.2,1903,Spring,No Holiday,Yes,5,7,2018
1218,13,19.3,37,3.0,1257,Spring,No Holiday,Yes,31,3,2018
305,18,-12.7,33,2.5,1835,Winter,No Holiday,Yes,26,1,2018
939,0,28.9,66,2.2,2000,Summer,No Holiday,Yes,25,7,2018
325,12,5.3,55,2.6,904,Winter,No Holiday,Yes,20,1,2018
20,4,-5.2,28,2.5,2000,Winter,Holiday,Yes,17,2,2018
157,3,24.5,97,0.8,263,Summer,No Holiday,Yes,7,11,2018
1377,22,14.8,83,1.5,227,Autumn,No Holiday,Yes,15,10,2018
208,0,22.7,96,0.3,2000,Summer,No Holiday,Yes,29,8,2018
907,10,19.9,47,1.8,1989,Autumn,No Holiday,Yes,27,9,2018
532,10,19.7,94,1.1,497,Summer,No Holiday,Yes,14,6,2018
0,2,17.3,68,0.7,2000,Autumn,No Holiday,No,30,9,2018
506,18,2.0,39,2.1,1259,Winter,No Holiday,Yes,18,1,2018
100,3,-2.3,52,3.4,1947,Winter,Holiday,Yes,25,12,2017
190,22,-3.6,52,3.7,1277,Spring,Holiday,Yes,3,1,2018
1025,0,25.1,79,0.5,1891,Summer,No Holiday,Yes,22,8,2018
47,11,7.1,93,2.6,697,Spring,No Holiday,Yes,4,5,2018
725,23,9.6,44,0.7,2000,Spring,No Holiday,Yes,24,4,2018
112,9,-3.5,30,1.5,1980,Winter,Holiday,Yes,15,2,2018
379,23,3.8,83,1.1,390,Autumn,No Holiday,Yes,25,11,2018
181,1,18.2,71,1.6,1328,Spring,No Holiday,Yes,5,6,2018
93,11,1.0,25,1.4,1782,Winter,Holiday,Yes,16,2,2018
209,5,11.1,79,0.3,1140,Autumn,No Holiday,Yes,15,10,2018
612,19,9.5,76,2.3,2000,Spring,No Holiday,Yes,14,4,2018
726,21,4.5,62,2.0,826,Spring,No Holiday,Yes,22,3,2018
3418,18,27.8,43,3.0,1933,Summer,No Holiday,Yes,21,6,2018
1996,19,25.3,60,1.2,2000,Autumn,No Holiday,Yes,14,9,2018
675,14,10.3,14,1.1,1880,Autumn,No Holiday,Yes,28,11,2018
100,3,-9.0,40,3.1,2000,Winter,No Holiday,Yes,17,12,2017
461,10,29.5,78,2.0,1091,Summer,No Holiday,Yes,8,5,2018
152,0,-6.6,39,1.6,1930,Winter,No Holiday,Yes,13,1,2018
698,15,34.3,49,1.0,1633,Summer,No Holiday,Yes,8,7,2018
1049,16,21.7,41,3.2,2000,Spring,No Holiday,Yes,14,3,2018
1026,20,6.8,59,3.2,2000,Autumn,No Holiday,Yes,29,10,2018
516,13,8.0,37,3.4,2000,Spring,No Holiday,Yes,20,3,2018
192,4,14.9,35,0.8,2000,Spring,No Holiday,Yes,22,4,2018
253,3,11.5,61,1.4,1399,Autumn,No Holiday,Yes,16,10,2018
783,2,25.3,85,1.7,1594,Summer,No Holiday,Yes,14,7,2018
127,19,0.9,88,1.6,290,Winter,No Holiday,Yes,1,8,2018
839,1,23.1,66,1.6,2000,Summer,No Holiday,Yes,7,6,2018
395,19,2.7,68,1.2,348,Winter,No Holiday,Yes,29,12,2017
964,12,28.1,73,2.1,1326,Summer,No Holiday,Yes,7,11,2018
169,19,-1.5,32,2.5,2000,Winter,Holiday,Yes,17,2,2018
438,12,7.6,58,2.4,2000,Spring,No Holiday,Yes,3,5,2018
1063,17,35.0,53,1.5,1618,Summer,No Holiday,Yes,8,6,2018
287,2,15.5,65,1.3,1953,Spring,No Holiday,Yes,5,8,2018
299,6,14.2,72,0.6,947,Spring,No Holiday,Yes,26,5,2018
0,1,14.7,69,0.6,2000,Autumn,No Holiday,No,10,4,2018
1531,20,14.4,50,2.7,1216,Spring,No Holiday,Yes,26,4,2018
652,13,13.5,82,0.8,962,Autumn,No Holiday,Yes,23,10,2018
359,20,4.6,51,1.2,1585,Winter,No Holiday,Yes,12,2,2017
1106,9,15.1,74,0.6,437,Spring,No Holiday,Yes,14,5,2018
220,2,9.0,63,2.1,2000,Spring,No Holiday,Yes,4,5,2018
0,16,16.6,55,1.3,334,Autumn,No Holiday,No,11,6,2018
283,11,2.2,20,0.6,1794,Winter,No Holiday,Yes,19,1,2018
476,11,33.6,46,1.7,1965,Summer,No Holiday,Yes,29,7,2018
2074,21,18.2,69,2.0,1286,Spring,No Holiday,Yes,30,5,2018
572,14,7.4,56,3.5,461,Spring,No Holiday,Yes,4,6,2018
78,3,-5.2,48,0.7,1309,Winter,No Holiday,Yes,2,9,2018
1474,17,24.4,75,0.6,2000,Autumn,No Holiday,Yes,15,9,2018
944,11,24.8,36,1.8,973,Spring,No Holiday,Yes,15,5,2018
975,1,22.7,83,0.1,1940,Autumn,No Holiday,Yes,9,1,2018
621,15,8.0,73,1.6,433,Winter,No Holiday,Yes,12,3,2017
350,17,-3.6,20,3.7,2000,Winter,No Holiday,Yes,26,12,2017
1330,7,24.3,74,0.6,1999,Summer,No Holiday,Yes,22,8,2018
1185,16,11.8,34,2.3,1979,Autumn,No Holiday,Yes,31,10,2018
58,11,0.9,92,0.9,137,Winter,No Holiday,Yes,12,10,2017
37,6,22.5,83,0.8,537,Summer,No Holiday,Yes,26,6,2018
227,2,20.3,81,1.9,1234,Autumn,No Holiday,Yes,17,9,2018
1184,17,38.0,36,1.3,1989,Summer,No Holiday,Yes,31,7,2018
146,5,8.2,73,1.3,1305,Autumn,No Holiday,Yes,21,10,2018
576,15,14.0,87,1.2,1482,Autumn,No Holiday,Yes,26,10,2018
225,9,-7.7,62,3.6,1637,Winter,No Holiday,Yes,1,10,2018
56,5,1.0,68,0.6,1519,Winter,No Holiday,Yes,14,2,2018
397,23,6.8,56,0.9,497,Spring,No Holiday,Yes,3,12,2018
1253,12,28.3,30,3.0,1675,Summer,No Holiday,Yes,6,2,2018
824,1,25.4,79,0.8,924,Summer,No Holiday,Yes,19,7,2018
327,3,31.2,68,1.4,968,Summer,No Holiday,Yes,8,3,2018
1523,23,24.4,54,1.6,2000,Autumn,No Holiday,Yes,9,1,2018
252,5,19.6,64,0.3,1483,Spring,No Holiday,Yes,29,5,2018
1260,19,17.5,61,2.2,758,Spring,No Holiday,Yes,29,3,2018
319,2,2.1,28,0.4,1981,Autumn,No Holiday,Yes,29,11,2018
492,2,29.8,53,1.4,2000,Summer,No Holiday,Yes,23,8,2018
137,12,2.2,19,1.4,1946,Winter,Holiday,Yes,16,2,2018
1153,14,23.8,62,1.2,1282,Summer,No Holiday,Yes,14,6,2018
258,5,28.3,83,1.7,969,Summer,No Holiday,Yes,8,6,2018
1433,16,22.0,31,2.7,2000,Autumn,Holiday,Yes,24,9,2018
170,5,14.2,85,0.5,1412,Spring,No Holiday,Yes,5,7,2018
247,12,-5.2,33,4.6,1973,Winter,No Holiday,Yes,12,11,2017
175,9,19.1,96,0.6,273,Summer,No Holiday,Yes,14,6,2018
733,1,28.8,75,2.1,1975,Summer,No Holiday,Yes,8,9,2018
256,13,2.6,40,3.5,1854,Winter,No Holiday,Yes,13,2,2018
484,9,24.8,85,1.7,2000,Summer,No Holiday,Yes,24,8,2018
306,19,2.1,27,2.8,1883,Winter,No Holiday,Yes,24,2,2018
2283,8,21.9,58,1.2,771,Summer,No Holiday,Yes,22,6,2018
981,11,27.6,47,1.2,2000,Autumn,No Holiday,Yes,9,1,2018
768,11,13.8,63,2.2,416,Autumn,No Holiday,Yes,11,10,2018
38,6,-4.1,30,1.1,2000,Winter,No Holiday,Yes,18,2,2018
882,14,16.1,37,2.4,315,Spring,No Holiday,Yes,25,3,2018
443,7,1.3,47,0.7,1084,Winter,No Holiday,Yes,27,2,2018
2012,18,20.5,66,1.2,2000,Autumn,No Holiday,Yes,10,6,2018
1730,14,24.2,36,4.0,1907,Spring,No Holiday,Yes,27,5,2018
942,10,20.2,62,1.8,2000,Summer,No Holiday,Yes,6,10,2018
283,1,2.5,75,1.5,786,Spring,No Holiday,Yes,23,3,2018
1644,21,16.4,52,1.5,1273,Spring,No Holiday,Yes,5,11,2018
1556,22,16.2,54,1.1,1327,Spring,No Holiday,Yes,5,11,2018
1226,18,13.2,57,2.2,618,Autumn,No Holiday,Yes,11,10,2018
65,3,3.6,85,2.3,206,Winter,No Holiday,Yes,12,4,2017
757,17,7.5,64,4.3,538,Spring,No Holiday,Yes,3,8,2018
315,23,2.8,73,1.8,468,Spring,No Holiday,Yes,3,8,2018
1234,9,19.8,49,1.9,2000,Autumn,No Holiday,Yes,9,11,2018
160,22,1.5,82,2.4,537,Winter,No Holiday,Yes,18,12,2017
